# N iters memory(kB) million_updates/sec running_time
5 47 1.000000 140.721611 0.000042
10 157 8.000000 119.648042 0.001312
15 328 27.000000 99.514215 0.011124
20 560 64.000000 91.040669 0.049209
25 852 125.000000 86.931869 0.153137
30 1203 216.000000 84.004279 0.386659
35 1614 343.000000 82.274347 0.841091
40 2082 512.000000 80.915562 1.646754
45 2609 729.000000 79.971273 2.972882
50 3194 1000.000000 79.149598 5.044245
55 3836 1331.000000 78.551616 8.124779
60 4535 1728.000000 77.998589 12.558689
65 5292 2197.000000 77.569694 18.735610
70 6106 2744.000000 77.194528 27.130913
75 6977 3375.000000 76.884769 38.283550
80 7904 4096.000000 76.617932 52.818549
85 8888 4913.000000 76.273844 71.562448
90 9927 5832.000000 75.918435 95.323131
95 10000 6859.000000 75.606002 113.400388
100 10000 8000.000000 75.428389 132.576079
105 10000 9261.000000 74.762082 154.841194
110 10000 10648.000000 75.322397 176.707069
115 10000 12167.000000 75.405992 201.691532
120 10000 13824.000000 74.834495 230.909557
125 10000 15625.000000 72.267479 270.263335
130 10000 17576.000000 72.573702 302.726739
135 10000 19683.000000 71.415805 344.514077
140 10000 21952.000000 71.799885 382.173315
145 10000 24389.000000 71.560947 426.017978
150 10000 27000.000000 72.175964 467.607191
