# N iters memory(kB) million_updates/sec running_time
5 87 2.000000 226.567369 0.000048
10 295 16.000000 293.616185 0.001005
15 619 54.000000 318.481262 0.006560
20 1057 128.000000 334.883503 0.025251
25 1608 250.000000 330.159241 0.076100
30 2270 432.000000 317.707447 0.192913
35 3043 686.000000 330.690735 0.394534
40 3927 1024.000000 326.445226 0.769893
45 4919 1458.000000 348.109839 1.287651
50 6020 2000.000000 326.808395 2.302572
55 7230 2662.000000 340.030010 3.537603
60 8547 3456.000000 335.536866 5.502084
65 9972 4394.000000 350.322015 7.817266
70 10000 5488.000000 327.454182 10.474748
75 10000 6750.000000 345.744059 12.201945
80 10000 8192.000000 336.750771 15.204123
85 10000 9826.000000 347.813599 17.656728
90 10000 11664.000000 335.230412 21.746237
95 10000 13718.000000 353.673979 24.241959
100 10000 16000.000000 340.142001 29.399486
105 10000 18522.000000 356.607395 32.462170
110 10000 21296.000000 335.036883 39.726969
115 10000 24334.000000 350.553714 43.384935
120 10000 27648.000000 328.887634 52.540741
125 10000 31250.000000 331.817032 58.861505
130 10000 35152.000000 307.800359 71.377435
135 10000 39366.000000 334.690775 73.511886
140 10000 43904.000000 331.412582 82.797098
145 10000 48778.000000 323.595005 94.211127
150 10000 54000.000000 326.697652 103.306528
